Shipment_ID,Order_Date,Delivery_Date,Customer_Type,Origin_Zone,Destination_Zone,Package_Type,Shipping_Mode,Shipping_Cost,Delivery_Days,Delivery_Status,Delivery_Performance
SHP00743,2024-01-01,2024-01-07,Individual,Central,Central,Parcel,Standard,381,6,Delivered,Not On Time
SHP00559,2024-01-01,2024-01-04,Individual,Central,East,Parcel,Express,382,3,Delayed,Not On Time
SHP00146,2024-01-02,2024-01-06,Individual,North,South,Document,Standard,241,4,Delivered,Not On Time
SHP01459,2024-01-02,2024-01-03,Individual,East,North,Fragile,Same Day,412,1,Delivered,On Time
SHP01364,2024-01-02,2024-01-04,Individual,East,South,Electronics,Standard,89,2,Delivered,On Time
SHP01624,2024-01-02,2024-01-06,Individual,East,North,Document,Standard,365,4,Delivered,Not On Time
SHP00189,2024-01-02,2024-01-06,Individual,Central,North,Fragile,Standard,191,4,Delivered,Not On Time
SHP01178,2024-01-03,2024-01-06,Individual,North,Central,Electronics,Standard,431,3,Delivered,On Time
SHP01138,2024-01-03,2024-01-05,Business,North,Central,Electronics,Standard,179,2,Delivered,On Time
SHP00723,2024-01-04,2024-01-07,Individual,West,South,Parcel,Same Day,353,3,Delivered,On Time
SHP00990,2024-01-04,2024-01-05,Business,South,Central,Parcel,Standard,275,1,Delivered,On Time
SHP00773,2024-01-05,2024-01-08,Business,East,South,Parcel,Express,382,3,Delayed,Not On Time
SHP00308,2024-01-05,2024-01-07,Individual,South,South,Parcel,Express,384,2,Delivered,On Time
SHP00720,2024-01-06,2024-01-08,Individual,South,Central,Fragile,Express,393,2,Delivered,On Time
SHP01225,2024-01-07,2024-01-11,Individual,East,East,Document,Standard,111,4,Delivered,Not On Time
SHP00955,2024-01-07,2024-01-09,Individual,East,North,Fragile,Express,368,2,Delivered,On Time
SHP01389,2024-01-07,2024-01-11,Business,North,West,Fragile,Standard,90,4,Delivered,Not On Time
SHP00656,2024-01-08,2024-01-12,Individual,East,Central,Document,Same Day,808,4,Delivered,Not On Time
SHP01381,2024-01-09,2024-01-15,Individual,East,Central,Fragile,Express,291,6,Delivered,Not On Time
SHP00195,2024-01-09,2024-01-13,Individual,West,Central,Parcel,Standard,320,4,Delayed,Not On Time
SHP00528,2024-01-10,2024-01-13,Business,East,South,Fragile,Standard,353,3,Delivered,On Time
SHP00752,2024-01-10,2024-01-16,Individual,East,West,Parcel,Express,526,6,Delivered,Not On Time
SHP01645,2024-01-10,2024-01-15,Individual,South,East,Parcel,Standard,418,5,Delivered,Not On Time
SHP01155,2024-01-11,2024-01-13,Individual,Central,Central,Document,Standard,249,2,Delivered,On Time
SHP00830,2024-01-11,2024-01-13,Individual,North,South,Document,Standard,186,2,Delivered,On Time
SHP01348,2024-01-11,2024-01-16,Individual,North,Central,Electronics,Standard,410,5,Delivered,Not On Time
SHP01027,2024-01-11,2024-01-12,Individual,South,East,Parcel,Standard,358,1,Delivered,On Time
SHP01590,2024-01-12,2024-01-13,Individual,North,South,Fragile,Standard,89,1,Cancelled,Not On Time
SHP00381,2024-01-12,2024-01-15,Business,Central,North,Document,Express,601,3,Delivered,On Time
SHP01066,2024-01-12,2024-01-14,Business,West,West,Parcel,Same Day,673,2,Delivered,On Time
SHP01767,2024-01-12,2024-01-18,Individual,North,North,Parcel,Standard,473,6,Delivered,Not On Time
SHP00756,2024-01-13,2024-01-17,Individual,North,East,Electronics,Standard,339,4,Delivered,Not On Time
SHP01399,2024-01-14,2024-01-16,Business,Central,East,Parcel,Standard,87,2,Delayed,Not On Time
SHP00039,2024-01-14,2024-01-18,Individual,East,East,Fragile,Standard,320,4,Delayed,Not On Time
SHP01467,2024-01-14,2024-01-16,Individual,Central,South,Fragile,Standard,110,2,Delayed,Not On Time
SHP00820,2024-01-15,2024-01-17,Individual,East,West,Document,Express,430,2,Delivered,On Time
SHP00075,2024-01-15,2024-01-20,Business,East,North,Parcel,Same Day,511,5,Delivered,Not On Time
SHP01112,2024-01-16,2024-01-19,Individual,East,West,Parcel,Express,332,3,Delayed,Not On Time
SHP01240,2024-01-17,2024-01-20,Business,East,Central,Fragile,Express,588,3,Delivered,On Time
