Shipment_ID,Order_Date,Delivery_Date,Customer_Type,Origin_Zone,Destination_Zone,Package_Type,Shipping_Mode,Shipping_Cost,Delivery_Status
SHP00743,2024-01-01,2024-01-07,Individual,Central,Central,Parcel,Standard,381,Delivered
SHP00559,2024-01-01,2024-01-04,Individual,Central,East,Parcel,Express,382,Delayed
SHP00146,2024-01-02,2024-01-06,Individual,North,South,Document,Standard,241,Delivered
SHP01459,2024-01-02,2024-01-03,Individual,East,North,Fragile,Same Day,412,Delivered
SHP01364,2024-01-02,2024-01-04,Individual,East,South,Electronics,Standard,89,Delivered
SHP01624,2024-01-02,2024-01-06,Individual,East,North,Document,Standard,365,Delivered
SHP00189,2024-01-02,2024-01-06,Individual,Central,North,Fragile,Standard,191,Delivered
SHP01178,2024-01-03,2024-01-06,Individual,North,Central,Electronics,Standard,431,Delivered
SHP01138,2024-01-03,2024-01-05,Business,North,Central,Electronics,Standard,179,Delivered
SHP00723,2024-01-04,2024-01-07,Individual,West,South,Parcel,Same Day,353,Delivered
SHP00990,2024-01-04,2024-01-05,Business,South,Central,Parcel,Standard,275,Delivered
SHP00773,2024-01-05,2024-01-08,Business,East,South,Parcel,Express,382,Delayed
SHP00308,2024-01-05,2024-01-07,Individual,South,South,Parcel,Express,384,Delivered
SHP00720,2024-01-06,2024-01-08,Individual,South,Central,Fragile,Express,393,Delivered
SHP01225,2024-01-07,2024-01-11,Individual,East,East,Document,Standard,111,Delivered
SHP00955,2024-01-07,2024-01-09,Individual,East,North,Fragile,Express,368,Delivered
SHP01389,2024-01-07,2024-01-11,Business,North,West,Fragile,Standard,90,Delivered
SHP00656,2024-01-08,2024-01-12,Individual,East,Central,Document,Same Day,808,Delivered
SHP01381,2024-01-09,2024-01-15,Individual,East,Central,Fragile,Express,291,Delivered
SHP00195,2024-01-09,2024-01-13,Individual,West,Central,Parcel,Standard,320,Delayed
SHP00528,2024-01-10,2024-01-13,Business,East,South,Fragile,Standard,353,Delivered
SHP00752,2024-01-10,2024-01-16,Individual,East,West,Parcel,Express,526,Delivered
SHP01645,2024-01-10,2024-01-15,Individual,South,East,Parcel,Standard,418,Delivered
SHP01155,2024-01-11,2024-01-13,Individual,Central,Central,Document,Standard,249,Delivered
SHP00830,2024-01-11,2024-01-13,Individual,North,South,Document,Standard,186,Delivered
SHP01348,2024-01-11,2024-01-16,Individual,North,Central,Electronics,Standard,410,Delivered
SHP01027,2024-01-11,2024-01-12,Individual,South,East,Parcel,Standard,358,Delivered
SHP01590,2024-01-12,2024-01-13,Individual,North,South,Fragile,Standard,89,Cancelled
SHP00381,2024-01-12,2024-01-15,Business,Central,North,Document,Express,601,Delivered
SHP01066,2024-01-12,2024-01-14,Business,West,West,Parcel,Same Day,673,Delivered
SHP01767,2024-01-12,2024-01-18,Individual,North,North,Parcel,Standard,473,Delivered
SHP00756,2024-01-13,2024-01-17,Individual,North,East,Electronics,Standard,339,Delivered
SHP01399,2024-01-14,2024-01-16,Business,Central,East,Parcel,Standard,87,Delayed
SHP00039,2024-01-14,2024-01-18,Individual,East,East,Fragile,Standard,320,Delayed
SHP01467,2024-01-14,2024-01-16,Individual,Central,South,Fragile,Standard,110,Delayed
SHP00820,2024-01-15,2024-01-17,Individual,East,West,Document,Express,430,Delivered
SHP00075,2024-01-15,2024-01-20,Business,East,North,Parcel,Same Day,511,Delivered
SHP01112,2024-01-16,2024-01-19,Individual,East,West,Parcel,Express,332,Delayed
SHP01240,2024-01-17,2024-01-20,Business,East,Central,Fragile,Express,588,Delivered
SHP00242,2024-01-17,2024-01-18,Individual,South,North,Document,Standard,282,Delayed
SHP01888,2024-01-17,2024-01-20,Individual,West,East,Parcel,Standard,378,Delivered
SHP00916,2024-01-18,2024-01-22,Individual,East,North,Fragile,Standard,319,Delivered
SHP00261,2024-01-18,2024-01-19,Individual,East,Central,Document,Same Day,441,Delivered
SHP01560,2024-01-19,2024-01-21,Business,Central,Central,Parcel,Standard,409,Delayed
SHP00282,2024-01-20,2024-01-22,Individual,West,North,Parcel,Express,486,Delivered
SHP01602,2024-01-21,2024-01-22,Individual,East,South,Document,Standard,176,Delivered
SHP01449,2024-01-21,2024-01-22,Individual,North,North,Parcel,Same Day,551,Delivered
SHP00033,2024-01-21,2024-01-26,Individual,North,Central,Electronics,Standard,494,Delivered
SHP01882,2024-01-21,2024-01-23,Individual,East,Central,Fragile,Standard,388,Delivered
SHP01302,2024-01-21,2024-01-27,Business,East,West,Parcel,Standard,427,Delivered
SHP01268,2024-01-22,2024-01-29,Individual,North,Central,Parcel,Standard,329,Delivered
SHP00017,2024-01-22,2024-01-27,Individual,Central,North,Fragile,Express,519,Delivered
SHP01393,2024-01-22,2024-01-26,Individual,North,Central,Parcel,Standard,293,Delivered
SHP00834,2024-01-23,2024-01-24,Individual,South,North,Document,Standard,310,Delivered
SHP00358,2024-01-23,2024-01-24,Business,West,Central,Parcel,Standard,94,Delivered
