Customer_ID,Customer_Type
CUST0103,Individual
CUST0436,Individual
CUST0349,Individual
CUST0271,Individual
CUST0107,Individual
CUST0072,Individual
CUST0189,Individual
CUST0021,Individual
CUST0103,Business
CUST0122,Individual
CUST0467,Business
CUST0215,Business
CUST0331,Individual
CUST0459,Individual
CUST0088,Individual
CUST0373,Individual
CUST0100,Business
CUST0360,Individual
CUST0152,Individual
CUST0131,Individual
CUST0150,Business
CUST0309,Individual
CUST0258,Individual
CUST0344,Individual
CUST0492,Individual
CUST0414,Individual
CUST0294,Individual
CUST0386,Individual
CUST0192,Business
CUST0444,Business
CUST0277,Individual
CUST0161,Individual
CUST0460,Business
CUST0314,Individual
CUST0022,Individual
CUST0253,Individual
CUST0236,Business
CUST0345,Individual
CUST0049,Business
CUST0475,Individual
CUST0059,Individual
CUST0170,Individual
CUST0476,Individual
CUST0188,Business
CUST0464,Individual
CUST0190,Individual
CUST0446,Individual
CUST0175,Individual
CUST0446,Business
CUST0051,Individual
CUST0364,Individual
CUST0055,Individual
CUST0244,Individual
CUST0320,Business
CUST0485,Business
CUST0307,Individual
CUST0135,Individual
CUST0329,Individual
CUST0167,Individual
CUST0274,Individual
CUST0388,Individual
CUST0089,Business
CUST0316,Business
CUST0014,Individual
CUST0242,Business
CUST0265,Business
CUST0346,Individual
CUST0053,Individual
CUST0340,Individual
CUST0092,Individual
CUST0367,Individual
CUST0455,Individual
CUST0428,Individual
CUST0264,Individual
CUST0431,Business
CUST0035,Individual
CUST0206,Individual
CUST0081,Individual
CUST0420,Business
CUST0050,Individual
CUST0388,Business
CUST0002,Individual
CUST0390,Individual
CUST0054,Business
CUST0106,Business
CUST0260,Individual
CUST0310,Individual
CUST0477,Individual
CUST0191,Business
CUST0402,Individual
CUST0218,Individual
CUST0044,Individual
CUST0162,Individual
CUST0202,Individual
CUST0484,Business
CUST0270,Individual
CUST0351,Individual
CUST0304,Business
CUST0456,Individual
CUST0462,Business
CUST0215,Individual
CUST0252,Individual
CUST0296,Business
CUST0213,Individual
CUST0208,Individual
CUST0237,Individual
CUST0338,Business
CUST0367,Business
CUST0053,Business
CUST0280,Individual
CUST0410,Individual
CUST0217,Individual
CUST0188,Individual
CUST0380,Business
CUST0493,Individual
CUST0041,Business
CUST0157,Individual
CUST0015,Individual
CUST0301,Business
CUST0065,Individual
CUST0327,Individual
CUST0009,Individual
CUST0344,Business
CUST0129,Individual
CUST0136,Individual
CUST0472,Business
CUST0063,Individual
CUST0139,Business
CUST0499,Individual
CUST0081,Business
CUST0392,Business
CUST0163,Business
CUST0419,Individual
CUST0289,Business
CUST0379,Individual
CUST0261,Individual
CUST0490,Individual
CUST0231,Individual
CUST0028,Business
CUST0201,Individual
CUST0328,Individual
CUST0268,Business
CUST0418,Individual
CUST0033,Individual
CUST0048,Business
CUST0407,Business
CUST0062,Business
CUST0216,Business
CUST0293,Business
CUST0099,Business
CUST0172,Individual
CUST0214,Individual
CUST0035,Business
CUST0449,Individual
CUST0227,Individual
CUST0101,Business
CUST0431,Individual
CUST0462,Individual
CUST0257,Individual
CUST0005,Individual
CUST0218,Business
CUST0255,Individual
CUST0398,Individual
CUST0359,Individual
CUST0283,Business
CUST0393,Individual
CUST0207,Individual
CUST0042,Business
CUST0380,Individual
CUST0461,Individual
CUST0179,Individual
CUST0063,Business
CUST0352,Individual
CUST0231,Business
CUST0241,Business
CUST0052,Individual
CUST0096,Individual
CUST0222,Individual
CUST0485,Individual
CUST0407,Individual
CUST0237,Business
CUST0143,Individual
CUST0171,Individual
CUST0029,Individual
CUST0036,Individual
CUST0013,Individual
CUST0160,Individual
CUST0187,Business
CUST0243,Individual
CUST0086,Individual
CUST0284,Individual
CUST0066,Individual
CUST0045,Business
CUST0062,Individual
CUST0441,Individual
CUST0134,Business
CUST0284,Business
CUST0028,Individual
CUST0108,Individual
CUST0044,Business
CUST0340,Business
CUST0286,Business
CUST0331,Business
CUST0128,Individual
CUST0348,Individual
CUST0473,Individual
CUST0225,Business
CUST0385,Business
CUST0377,Individual
CUST0283,Individual
CUST0121,Business
CUST0116,Individual
CUST0233,Business
CUST0259,Business
CUST0198,Individual
CUST0456,Business
CUST0411,Business
CUST0137,Individual
CUST0318,Individual
CUST0165,Individual
CUST0225,Individual
CUST0234,Business
CUST0463,Individual
CUST0315,Business
CUST0374,Individual
CUST0096,Business
CUST0180,Business
CUST0113,Individual
CUST0497,Business
CUST0442,Individual
CUST0295,Individual
CUST0386,Business
CUST0387,Individual
CUST0101,Individual
CUST0113,Business
CUST0440,Business
CUST0187,Individual
CUST0002,Business
CUST0130,Individual
CUST0220,Business
CUST0343,Individual
CUST0224,Business
CUST0385,Individual
CUST0403,Business
CUST0126,Individual
CUST0130,Business
CUST0160,Business
CUST0416,Business
CUST0247,Individual
CUST0324,Business
CUST0439,Business
CUST0203,Individual
CUST0184,Individual
CUST0123,Business
CUST0401,Individual
CUST0255,Business
CUST0280,Business
CUST0325,Individual
CUST0372,Business
CUST0098,Individual
CUST0470,Individual
CUST0395,Individual
CUST0240,Individual
CUST0144,Business
CUST0097,Individual
CUST0201,Business
CUST0124,Individual
CUST0326,Individual
CUST0464,Business
CUST0259,Individual
CUST0148,Business
CUST0443,Individual
CUST0420,Individual
CUST0403,Individual
CUST0451,Business
CUST0147,Individual
CUST0148,Individual
CUST0199,Individual
CUST0308,Individual
CUST0489,Individual
CUST0417,Individual
CUST0424,Business
CUST0039,Business
CUST0338,Individual
CUST0129,Business
CUST0267,Business
CUST0434,Individual
CUST0151,Individual
CUST0415,Individual
CUST0478,Business
CUST0298,Individual
CUST0099,Individual
CUST0263,Business
CUST0252,Business
CUST0112,Individual
CUST0500,Individual
CUST0060,Business
CUST0369,Individual
CUST0304,Individual
CUST0254,Individual
CUST0140,Individual
CUST0453,Business
CUST0037,Business
CUST0009,Business
CUST0404,Individual
CUST0152,Business
CUST0120,Individual
CUST0408,Business
CUST0075,Individual
CUST0422,Individual
CUST0104,Business
CUST0227,Business
CUST0153,Business
CUST0384,Individual
CUST0366,Individual
CUST0194,Business
CUST0163,Individual
CUST0445,Business
CUST0169,Individual
CUST0068,Individual
CUST0289,Individual
CUST0398,Business
CUST0404,Business
CUST0195,Individual
CUST0128,Business
CUST0176,Individual
CUST0460,Individual
CUST0371,Individual
CUST0470,Business
CUST0375,Individual
CUST0238,Business
CUST0158,Individual
CUST0038,Individual
CUST0230,Business
CUST0365,Individual
CUST0051,Business
CUST0438,Individual
CUST0027,Individual
CUST0226,Business
CUST0277,Business
CUST0286,Individual
CUST0448,Individual
CUST0481,Individual
CUST0453,Individual
CUST0317,Business
CUST0147,Business
CUST0004,Business
CUST0192,Individual
CUST0017,Individual
CUST0220,Individual
CUST0477,Business
CUST0046,Business
CUST0006,Individual
CUST0302,Business
CUST0181,Business
CUST0095,Individual
CUST0469,Business
CUST0416,Individual
CUST0471,Individual
CUST0161,Business
CUST0256,Business
CUST0323,Individual
CUST0018,Individual
