Shipment_ID,Customer_ID,Order_Date,Delivery_Date,Origin_Zone,Destination_Zone,Package_Type,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days,Delivery_Performance
SHP00743,CUST0103,2024-01-01,2024-01-07,Central,Central,Parcel,Standard,381,Delivered,6,Not On Time
SHP00559,CUST0436,2024-01-01,2024-01-04,Central,East,Parcel,Express,382,Delayed,3,Not On Time
SHP00146,CUST0349,2024-01-02,2024-01-06,North,South,Document,Standard,241,Delivered,4,Not On Time
SHP01459,CUST0271,2024-01-02,2024-01-03,East,North,Fragile,Same Day,412,Delivered,1,On Time
SHP01364,CUST0107,2024-01-02,2024-01-04,East,South,Electronics,Standard,89,Delivered,2,On Time
SHP01624,CUST0072,2024-01-02,2024-01-06,East,North,Document,Standard,365,Delivered,4,Not On Time
SHP00189,CUST0189,2024-01-02,2024-01-06,Central,North,Fragile,Standard,191,Delivered,4,Not On Time
SHP01178,CUST0021,2024-01-03,2024-01-06,North,Central,Electronics,Standard,431,Delivered,3,On Time
SHP01138,CUST0103,2024-01-03,2024-01-05,North,Central,Electronics,Standard,179,Delivered,2,On Time
SHP00723,CUST0122,2024-01-04,2024-01-07,West,South,Parcel,Same Day,353,Delivered,3,On Time
SHP00990,CUST0467,2024-01-04,2024-01-05,South,Central,Parcel,Standard,275,Delivered,1,On Time
SHP00773,CUST0215,2024-01-05,2024-01-08,East,South,Parcel,Express,382,Delayed,3,Not On Time
SHP00308,CUST0331,2024-01-05,2024-01-07,South,South,Parcel,Express,384,Delivered,2,On Time
SHP00720,CUST0459,2024-01-06,2024-01-08,South,Central,Fragile,Express,393,Delivered,2,On Time
SHP01225,CUST0088,2024-01-07,2024-01-11,East,East,Document,Standard,111,Delivered,4,Not On Time
SHP00955,CUST0373,2024-01-07,2024-01-09,East,North,Fragile,Express,368,Delivered,2,On Time
SHP01389,CUST0100,2024-01-07,2024-01-11,North,West,Fragile,Standard,90,Delivered,4,Not On Time
SHP00656,CUST0360,2024-01-08,2024-01-12,East,Central,Document,Same Day,808,Delivered,4,Not On Time
SHP01381,CUST0152,2024-01-09,2024-01-15,East,Central,Fragile,Express,291,Delivered,6,Not On Time
SHP00195,CUST0131,2024-01-09,2024-01-13,West,Central,Parcel,Standard,320,Delayed,4,Not On Time
SHP00528,CUST0150,2024-01-10,2024-01-13,East,South,Fragile,Standard,353,Delivered,3,On Time
SHP00752,CUST0309,2024-01-10,2024-01-16,East,West,Parcel,Express,526,Delivered,6,Not On Time
SHP01645,CUST0258,2024-01-10,2024-01-15,South,East,Parcel,Standard,418,Delivered,5,Not On Time
SHP01155,CUST0344,2024-01-11,2024-01-13,Central,Central,Document,Standard,249,Delivered,2,On Time
SHP00830,CUST0492,2024-01-11,2024-01-13,North,South,Document,Standard,186,Delivered,2,On Time
SHP01348,CUST0414,2024-01-11,2024-01-16,North,Central,Electronics,Standard,410,Delivered,5,Not On Time
SHP01027,CUST0294,2024-01-11,2024-01-12,South,East,Parcel,Standard,358,Delivered,1,On Time
SHP01590,CUST0386,2024-01-12,2024-01-13,North,South,Fragile,Standard,89,Cancelled,1,Not On Time
